tag,name,country,notes,lat,lon,alt,timezone,surface,profile
alert,"Alert, Nunavut",Canada,Arctic Ocean climate,82.499,-62.349,30,America/Pangnirtung,71082,ERA5
antofagasta,Antofagasta,Chile,Very sporadic precipitation,-23.646,-70.398,32,America/Santiago,85442,
austin,"Austin, Texas",USA,UT,30.285,-97.739,201,America/Chicago,72254,
bar_harbor,"Bar Harbor, Maine",USA,New England climate,44.388,-68.204,20,America/New_York,KBHB0,
barrow,"Barrow, Alaska",USA,GML,71.323,-156.611,11,America/Anchorage,70026,ERA5
boulder,"Boulder, Colorado",USA,GML,40.009,-105.267,1621,America/Denver,KBDU0,ERA5
bure,Plateau de Bure,France,NOEMA,44.634,5.908,2552,Europe/Paris,,ERA5
burns,"Burns, Oregon",USA,Large diurnal temperature variation,43.591,-118.955,1263,America/Los_Angeles,72683,
calgary,"Calgary, Alberta",Canada,Chinook winds,51.055,-114.071,1045,America/Edmonton,71877,ERA5
cambridge,"Cambridge, Massachusetts",USA,"Harvard University, MIT",42.374,-71.111,8,America/New_York,72509,ERA5
chajnantor,Llano de Chajnantor,Chile,"ACT, ALMA, APEX, ASTE, SO, TAO",-23.006,-67.759,5040,America/Santiago,ESO,ERA5
chicago,"Chicago, Illinois",USA,University of Chicago,41.789,-87.6,189,America/Chicago,72534,
effelsberg,"Effelsberg, North Rhine-Westphalia",Germany,ERT,50.524,6.883,319,Europe/Berlin,10506,ERA5
falklands,"Mount Pleasant, Falkland Islands",UK,Southern Ocean climate,-51.821,-58.469,74,Atlantic/Stanley,88889,
graham,"Mount Graham, Arizona",USA,"LBT, VATT",32.702,-109.89,3178,America/Phoenix,,ERA5
green_bank,"Green Bank, West Virginia",USA,Green Bank Observatory,38.433,-79.84,807,America/New_York,72417,ERA5
hatteras,"Cape Hatteras, North Carolina",USA,Outer Banks,35.251,-75.529,3,America/New_York,KHSE0,
honolulu,"Honolulu, Hawaii",USA,The nicest weather in the world,21.311,-157.859,4,Pacific/Honolulu,91182,
houghton,"Houghton, Michigan",USA,Snow!,47.122,-88.567,334,America/Detroit,72744,
jerusalem,Jerusalem,Israel,The holiest land,31.778,35.229,757,Asia/Jerusalem,40184,
kerguelen,Kerguelen Islands,France,Extreme Southern Ocean climate,-49.349,70.219,29,Indian/Kerguelen,61998,
key_west,"Key West, Florida",USA,Hurricanes,24.555,-81.756,1,America/New_York,72201,
kuwait,Mitribah Desert,Kuwait,Highest extreme temperatures,29.809,47.595,55,Asia/Kuwait,40582,
lauder,"Lauder, New Zealand",New Zealand,GML,-45.038,169.683,370,Pacific/Auckland,ERA5,ERA5
london,"London, England",UK,The worst weather in the world,51.517,-0.117,5,Europe/London,03779,
lucknow,Lucknow,India,Highest extreme PWV,26.85,80.95,122,Asia/Kolkata,42369,ERA5
madrid,Robledo de Chavela,Spain,MDSCC,40.429,-4.249,720,Europe/Madrid,08223,ERA5
malta,Malta,Malta,Mediterranean climate,35.881,14.449,91,Europe/Malta,16597,
mauna_kea,"Mauna Kea, Hawaii",USA,Mauna Kea Observatory,19.823,-155.475,4205,Pacific/Honolulu,MKWC,ERA5
mcmurdo,McMurdo Bay,Antarctica,McMurdo Station,-77.846,166.668,10,Antarctica/McMurdo,89670,
meerkat,Meerkat National Park,South Africa,"HERA, MeerKAT, SKA",-30.713,21.443,1075,Africa/Johannesburg,ERA5,ERA5
metsahovi,Metsähovi,Finland,Metsähovi Radio Observatory,60.218,24.394,90,Europe/Helsinki,ERA5,ERA5
murchison,"Murchison, Western Australia",Australia,"MRO, SKA",-26.697,116.631,395,Australia/Perth,94422,ERA5
narrabri,"Narrabri, New South Wales",Australia,ATCA,-30.314,149.562,237,Australia/Sydney,YNBR0,ERA5
negra,"Sierra Negra, Puebla",Mexico,"HAWC, LMT",18.986,-97.314,4640,America/Mexico_City,,ERA5
ngari,"Ngari, Tibet",China,AliCPT,32.326,80.026,5176,Asia/Shanghai,,ERA5
nobeyama,"Nobeyama Observatory, Nagano",Japan,"45m, NMA",35.942,138.476,1350,Asia/Tokyo,,ERA5
oak_ridge,"Oak Ridge, Tennessee",USA,Oak Ridge National Lab,35.928,-84.315,260,America/New_York,KOQT0,
owens_valley,"Owens Valley, California",USA,Owens Valley Radio Observatory,37.232,-118.295,1222,America/Los_Angeles,72480,ERA5
oymyakon,"Oymyakon, Sakha",Russia,Extreme seasonal temperature variation,63.463,142.787,745,Asia/Magadan,24688,ERA5
pachon,Cerro Pachón,Chile,"Gemini, LSST, SOAR",-30.244,-70.74,2663,America/Santiago,,ERA5
paranal,Cerro Paranal,Chile,VLT,-24.628,-70.405,2635,America/Santiago,ESO,ERA5
princeton,"Princeton, New Jersey",USA,Princeton University,40.345,-74.651,58,America/New_York,ERA5,
qitai,"Qitai, Xinjiang",China,QTT,43.601,89.682,1780,Asia/Urumqi,51379,ERA5
quibdo,Quibdó,Colombia,Highest average PWV,5.692,-76.658,43,America/Bogota,80144,ERA5
reykjavik,Reykjavík,Iceland,North Atlantic climate,64.116,-21.83,26,Atlantic/Reykjavik,04030,
rome,Rome,Italy,Mediterranean inland climate,41.912,12.485,18,Europe/Rome,16235,
samoa,American Samoa,USA,GML,-14.247,-170.564,42,Pacific/Pago_Pago,GML,
san_agustin,"Plains of San Agustin, New Mexico",USA,VLA,34.079,-107.618,2120,America/Denver,ERA5,ERA5
san_francisco,San Francisco,USA,Why is it so cold?,37.755,-122.453,3,America/Los_Angeles,72494,
san_salvador,San Salvador,El Salvador,Pronounced wet and dry seasons,13.689,-89.187,653,America/El_Salvador,78662,
sardinia,"San Basilio, Sardinia",Italy,SRT,39.493,9.245,600,Europe/Rome,,ERA5
singapore,Singapore,Singapore,Very consistent climate,1.367,103.917,18,Asia/Singapore,48694,
south_pole,South Pole,Antarctica,"BICEP2, GML, Keck, SPT",-90.0,0.0,2835,Antarctica/South_Pole,GML,ERA5
st_johns,"St. John's, Newfoundland",Canada,North Atlantic Climate,47.567,-52.711,25,America/St_Johns,71801,
summit,Summit Camp,Greenland,"GML, Summit Station",72.583,-38.455,3202,America/Nuuk,04416,ERA5
teide,"Mount Teide, Tenerife",Spain,Teide Observatory,28.301,-16.511,2390,Atlantic/Canary,60010,ERA5
unalaska,"Unalaska, Alaska",USA,Pretty erratic weather,53.874,-166.534,7,America/Adak,70489,
vancouver,"Vancouver, British Columbia",Canada,UBC,49.299,-123.118,2,America/Vancouver,71201,
veleta,"Pico Veleta, Granada",Spain,IRAM,37.066,-3.393,2850,Europe/Madrid,,ERA5
washington,"Mount Washington, New Hampshire",USA,Most erratic weather,44.27,-71.303,1910,America/New_York,72613,ERA5
